"time","S","E","I","R"
0,94,0,12,0
1,91.8821741244562,2.02728355238674,11.3867411611547,0.703801162002397
2,89.9466042414837,3.71415521317948,11.0096751632957,1.32956538204109
3,88.1438444717808,5.13846262070616,10.8222532904472,1.89543961706592
4,86.4362537363168,6.35982048290081,10.7880883839326,2.41583739684988
5,84.7951378690927,7.42399566273586,10.8786339939247,2.90223247424682
6,83.1986598575605,8.36615972553032,11.0714023915837,3.36377802532555
7,81.6302872258477,9.21333419333926,11.3485876955674,3.80779088524575
8,80.0776611230224,9.98619289284186,11.6960243808516,4.24012160328419
9,78.5317070558493,10.7004907875688,12.1023485254193,4.66545363116276
10,76.9859737128036,11.3681339705398,12.5583598723186,5.08753244433805
11,75.4361319308537,11.9979949474005,13.0565313814306,5.50934174031537
12,73.8795698055184,12.596572254824,13.5906108145896,5.93324712506805
13,72.3150834912591,13.1684920388508,14.1553197923334,6.36110467755673
14,70.7426269382855,13.716910455446,14.746115085265,6.79434752100345
15,69.1631082853018,14.243835124345,15.3590027456881,7.23405384466519
16,67.5782239433857,14.7503796574795,15.9903969669904,7.68099943214452
17,65.9903164041449,15.2369736260983,16.6370100286968,8.13569994106015
18,64.4022523853152,15.7035331953728,17.2957702762381,8.5984441430739
19,62.8173154011678,16.1496021606754,17.9637618700277,9.06932056812924
20,61.2391087389141,16.5744702474339,18.6381815902603,9.5482394233919
21,59.6714672963911,16.9772716127297,19.316310453835,10.0349506370443
22,58.118375582051,17.3570687847571,19.9954960859521,10.5290595472399
23,56.583892079056,17.712922197735,20.6731452178321,11.030040505377
24,55.0720786644739,18.0439487181473,21.3467232063688,11.53724941101
25,53.5869350940495,18.3493701810813,22.0137591193963,12.0499356054731
26,52.1323390435542,18.6285522065603,22.6718554386945,12.5672533111912
27,50.711991761479,18.8810344284998,23.3187008142937,13.0882729957275
28,49.3293697777294,19.1065525817445,23.9520848491311,13.611992791395
29,47.9876830712569,19.3050529150994,24.5699139654557,14.1373500481882
30,46.6898399953909,19.4766994850631,25.1702274566398,14.6632330629062
31,45.4384192041286,19.62187485135,25.7512129912241,15.1884929532974
32,44.2356486758828,19.7411747871029,26.3112209221956,15.7119556148188
33,43.0833917846077,19.8353976859472,26.8487768629554,16.2324336664898
34,41.9831402201902,19.9055294063862,27.3625921059274,16.7487382674964
35,40.9360134100878,19.9527243512651,27.8515715652011,17.2596906734461
36,39.9427639617516,19.9782836116939,28.3148190326322,17.7641333939224
37,39.0037885330072,19.9836310142246,28.7516396398855,18.2609408128829
38,38.1191434501732,19.9702878953736,29.1615395148087,18.7490291396445
39,37.2885643347834,19.9398473877346,29.5442227082279,19.2273655692542
40,36.5114889692879,19.8939489403975,29.8995855439121,19.6949765464027
41,35.7870826290843,19.8342537165058,30.2277086088203,20.1509550455897
42,35.1142651301163,19.7624214170532,30.5288466518503,20.5944668009804
43,34.4917388843823,19.6800889775711,30.8034166966738,21.0247554413729
44,33.9180173157857,19.588851478147,31.0519846980695,21.4411465079979
45,33.3914530612352,19.490245501973,31.2752510821202,21.8430503546716
46,32.9102654622563,19.3857350774818,31.4740355098421,22.2299639504198
47,32.4725669363568,19.2767002474412,31.6492611927081,22.6014716234941
48,32.0763879012839,19.1644282276478,31.8019390687998,22.9572448022686
49,31.7197000059978,19.0501070497125,31.9331521217674,23.2970408225223
50,31.4004374972428,18.9348215276458,32.0440400932137,23.6207008818978
51,31.1165166182807,18.8195513465932,32.1357848043003,23.9281472308259
52,30.8658529955615,18.7051710435618,32.2095962659197,24.2193796949571
53,30.646377019318,18.5924516332844,32.2666997201087,24.4944716272889
54,30.4560472652484,18.4820636261145,32.3083237197218,24.7535653889154
55,30.2928620369221,18.3745811874484,32.3356893197056,24.996867455924
56,30.1548691329471,18.2704871979801,32.3500004223679,25.224643246705
57,30.0401739600771,18.1701789894556,32.3524352913318,25.4372117591356
58,29.9469461242445,18.0739745499589,32.3441392247338,25.6349401010629
59,29.8734246369512,17.982119014715,32.3262183577838,25.8182379905501
60,29.8179218754863,17.8947912817091,32.2997345480616,25.987552294743
61,29.7788264329737,17.8121106150624,32.2657012837235,26.1433616682405
62,29.754604989121,17.734143122233,32.2250805449237,26.2861713437224
63,29.7438033254639,17.6609080130916,32.178780541914,26.4165081195307
64,29.7450466005137,17.5923835692851,32.1276542491419,26.5349155810593
65,29.7570389910561,17.5285127707405,32.0724986528682,26.6419495853353
66,29.7785627963244,17.4692085425015,32.0140546300033,26.7381740311709
67,29.8084770922444,17.4143585992716,31.9530073776777,26.8241569308063
68,29.8457160136535,17.3638298770756,31.8899873161717,26.9004667930994
69,29.889286733535,17.3174725514437,31.8255713919419,26.9676693230795
70,29.9382672000044,17.2751236496089,31.7602847123099,27.0263244380769
71,29.9918036841052,17.2366102705463,31.6946024486938,27.0769835966548
72,30.0491081844784,17.2017524314779,31.628951950849,27.1201874331948
73,30.1094557286461,17.1703655628958,31.5637150202751,27.1564636881832
74,30.172181605002,17.1422626764273,31.4992302965964,27.1863254219745
75,30.2366785545946,17.1172562311509,31.4357957162171,27.2102694980375
76,30.3023939473732,17.0951597244569,31.3736710078129,27.2287753203571
77,30.3688269637112,17.0757890333776,31.3130801941706,27.2423038087407
78,30.4355257986641,17.0589635316411,31.2542140744981,27.2512965951967
79,30.5020849035099,17.0445070066433,31.1972326655577,27.2561754242892
